iter	MultiClass
0	1.03416324311	0.976136336
22	0.92571662433	0.883769043544	0.849058455255	0.818925715466	0.792786223877	0.771007606
8	0.7535726296
9	0.7362994251
10	0.7195526768
11	0.707180019
1212	0.6985246541313	0.68703920214	0.6736471323
15	0.663926981
16	0.6560573322
17	0.6469138147
18	0.6381232956
19	0.6313816873
20	0.6251852374
21	0.6184505549
22	0.6128794102
23	0.6076355564
24	0.6026532082
25	0.5983728745
26	0.5938710434
27	0.5897217257
28	0.5862822562229	0.5830731519330	0.5787218823331	0.5755194966332	0.5720594954333	0.5692010661334	0.5666188229335	0.5642582409336	0.5608803226337	0.55887066838	0.5562226621
39	0.5537301028
40	0.5510899199
41	0.5487740366
42	0.5464105123
43	0.544751643
44	0.5431932139
45	0.5410352516
46	0.5392752374
47	0.5377779469
48	0.5368976905
49	0.5354488856
50	0.5330170689
51	0.5308033089
52	0.5293751786
53	0.527312433
54	0.5255431739
55	0.5242779441
56	0.5223275453
57	0.5214603592
58	0.5190664121
59	0.5180722639
60	0.5169364997
61	0.5162706049
62	0.5149176701
63	0.5139482697
64	0.5130554318
65	0.5116701506
66	0.510165801
67	0.5091115773
68	0.5083026574
69	0.5073362441
70	0.5057080648
71	0.5051458744
72	0.5041152472
73	0.5031984646
74	74	0.504777875	075	0.504207276	076	0.502959177	077	0.501604878	078	0.50113479	0.79	0.50028280	0.80	0.49892481	0.81	0.49792682	0.82	0.49635683	0.83	0.49557684	0.84	0.49501385	0.85	0.49426486	0.4892225554
87	0.4882121607
88	0.4866549729
89	0.4850873509
90	0.4838496983
91	0.4828819005
92	0.4816560498
93	0.4811476281
94	0.4797246104
95	0.4784888025
96	0.4767528169
97	0.4752339485
98	0.4740063917
99	0.473355792
100	0.472204981
101	0.4707911506
102	0.4700822765
103	103	0.4728010104	104	0.4712540105	105	0.4702624106	0.4663319641
107	0.4649445338
108	0.46345357
109	0.109	0.46523110	0.110	0.46366111	0.111	0.46245112	0.112	0.46201113	0.113	0.46129114	0.114	0.46041115	0.115	0.45911116	0.116	0.45806117	0.117	0.45684118	0.118	0.45618119	0.119	0.4555935692
120	0.45386121	0.121	0.45333122	0.122	0.4527123	0.4123	0.451124	0.44124	0.450125	0.4125	0.4495126	0.4126	0.4482127	0.4127	0.4465128	0.4128	0.4458129	0.4129	0.4447130	0.4130	0.4435131	0.4131	0.4420132	0.4132	0.441855902
133	0.4405246233
134	0.4393543174
135	0.438452825
136	0.4375915714
137	0.436716595
138	0.4364676527
139	0.4354250814
140	0.434674499
141	0.4340256638
142	0.4332261875
143	0.4328628097
144	0.4320697207
145	0.43085002
146	0.429697911
147	0.4293441605
148	0.428180161
149	0.4270331705
150	0.4262173287
151	0.4251492882
152	0.4244351662
153	0.423836667
154	0.4232526944
155	0.4226981141
156	0.4221326259
157	0.421517094
158	0.4211699092
159	0.420502947
160	0.4200985708
161	0.4196448093
162	0.4184764704
163	0.4176074579
164	0.4170056972
165	0.4162722869
166	0.4153742724
167	0.4146532594
168	0.4142930504
169	0.4133391819
170	0.4131065748
171	0.4124258716
172	0.4121936732
173	0.4111788624
174	0.4106466756
175	0.410183081
176	0.4097401546
177	0.4091586412
178	0.4086074403
179	0.4074495111
180	0.4068011363
181	0.4056907428
182	0.4050785839
183	0.4042795611
184	0.4037141519
185	0.4028679668
186	0.4017373897
187	0.4014410193
188	0.4003358358
189	0.3998313324
190	0.3990301741
191	0.3983105253
192	0.3980705333
193	0.3972863563
194	0.3961128549
195	0.3956682729
196	0.3946302351
197	0.394379876
198	0.3935804461
199	0.3930594922
200	0.3923748336
201	0.3918058385
202	0.39126755
203	0.3905806084
204	0.3900796278
205	0.3893164706
206	0.3886361237
207	0.3882108014
208	0.3879254662
209	0.3874219352
210	0.3869913841
211	0.3862581583
212	0.3859116379
213	0.3851160721
214	0.3838197063
215	0.3832529269
216	0.3822973234
217	0.381583355
218	0.3804652426
219	0.38006447
220	0.3793466374
221	0.3790392142
222	0.3783830174
223	0.3775945649
224	0.3766956415
225	0.3761457584
226	0.3755529466
227	0.3754110089
228	0.3747369585
229	0.3738568113
230	0.3736527674
231	0.3732394652
232	0.3729098992
233	0.3725390487
234	0.3721434191
235	0.3718991217
236	0.3709685285
237	0.3702513685
238	0.3699745248
239	0.3690843659
240	0.3684037394
241	0.3678363689
242	0.3676217932
243	0.3670494934
244	0.3666657267
245	0.3660509751
246	0.3656637184
247	0.3652480923
248	0.3645055575
249	0.363858439
250	0.3627351429
251	0.3620283784
252	0.3617589175
253	0.3607450673
254	0.3604002426
255	0.3599962193
256	0.3597752635
257	0.3590920796
258	0.3587547973
259	0.3582423859
260	0.3576569108
261	0.3572866583
262	0.3567430565
263	0.3563952337
264	0.3557187853
265	0.3550277931
266	0.3543814154
267	0.3541196249
268	0.3534435086
269	0.3528910504
270	0.3524819892
271	0.3516462852
272	0.3510704939
273	0.3506765584
274	0.3501187197
275	0.3494720634
276	0.3492539692
277	0.3486331231
278	0.3475615082
279	0.3472633731
280	0.3464053731
281	0.3454393337
282	0.3446728515
283	0.3444934683
284	0.3438992195
285	0.3434144308
286	0.3429277505
287	0.342514613
288	0.3421608354
289	0.3414677369
290	0.340716892
291	0.3401697894
292	0.3398640845
293	0.3393311735
294	0.3388339388
295	0.3380078425
296	0.3377497025
297	0.3373113058
298	0.3366326086
299	0.336061454
300	0.3355190432
301	0.3352338374
302	0.3346208743
303	0.3341378958
304	0.3337748038
305	0.3335473631
306	0.3333017525
307	0.332505484
308	0.3318911503
309	0.33142388
310	0.3305528242
311	0.3298311295
312	0.3296753415
313	0.3288320854
314	0.3284520768
315	0.3276779327
316	0.3270976405
317	0.326738285
318	0.3263954654
319	0.3260969382
320	0.3255131534
321	0.3251168896
322	0.3247371536
323	0.3242437489
324	0.3235712086
325	0.3227923039
326	0.3220331807
327	0.3211490952
328	0.3208741448
329	0.3204962199
330	0.3199335005
331	0.3196967827
332	0.3191482822
333	0.3185970022
334	0.3183016318
335	0.3180894862
336	0.3177994607
337	0.3175916773
338	0.3171523363
339	0.3168362428
340	0.3160538771
341	0.3154955316
342	0.3151860666
343	0.3149173257
344	0.3145051711
345	0.3142506811
346	0.313650774
347	0.3132722698
348	0.3129853425
349	0.3127114828
350	0.312246471
351	0.3116050414
352	0.3113786372
353	0.3110119591
354	0.3103535038
355	0.3100115026
356	0.3093212712
357	0.3087349569
358	0.3081018211
359	0.3077899072
360	0.3069343457
361	0.3066057624
362	0.3062257399
363	0.3058205794
364	0.3052962922
365	0.3049930913
366	0.3043139634
367	0.3038729988
368	0.3033527248
369	0.3031789932
370	0.3026445078
371	0.3023907868
372	0.302063925
373	0.3013454341
374	0.3009713575
375	0.3007344427
376	0.3005273419
377	0.299915751
378	0.2994511839
379	0.2988308138
380	0.2982875009
381	0.2981499274
382	0.2977363132
383	0.297151882
384	0.2966055421
385	0.2962916904
386	0.2959224784
387	0.2953688367
388	0.2946699329
389	0.2943202278
390	0.29378861
391	0.2932157927
392	0.2925520513
393	0.2921089496
394	0.2916679841
395	0.2911636905
396	0.2910308864
397	0.2904070779
398	0.2902453824
399	0.2894614441
400	0.2891501797
401	0.28862968
402	0.288324049
403	0.287693025
404	0.2874352748
405	0.2871982668
406	0.2866101052
407	0.2861607186
408	0.2860045145
409	0.2858322466
410	0.285390801
411	0.2851120737
412	0.2846262564
413	0.2841858149
414	0.2840962182
415	0.2835786819
416	0.2831861769
417	0.2830233703
418	0.2828722131
419	0.2823044521
420	0.2817079795
421	0.2814020402
422	0.2811029722
423	0.2805714415
424	0.2803566975
425	0.2799215862
426	0.2794425772
427	0.2791232885
428	0.278393298
429	0.2781736508
430	0.2777576335
431	0.2774081177
432	0.2770666208
433	0.2766145455
434	0.2761399346
435	0.2758970854
436	0.2752857156
437	0.274648612
438	0.274276168
439	0.2740360379
440	0.2736169078
441	0.2732646211
442	0.272918585
443	0.272555696
444	0.2722751789
445	0.2719384495
446	0.2715782088
447	0.271147912
448	0.2708575514
449	0.270447191
450	0.270083126
451	0.2696024271
452	0.2692502476
453	0.2690253319
454	0.268696195
455	0.2683821383
456	0.268148403
457	0.2679216321
458	0.2676466645
459	0.2673633813
460	0.2670153707
461	0.2665628715
462	0.2663503887
463	0.2660171008
464	0.2658673679
465	0.2652640018
466	0.2648031518
467	0.2644086892
468	0.264126058
469	0.2636989481
470	0.2635180835
471	0.2631146342
472	0.2626654948
473	0.2621400579
474	0.2616947093
475	0.2614637022
476	0.2605387399
477	0.2601122382
478	0.2595217644
479	0.2591669807
480	0.2587603666
481	0.2583620355
482	0.2577117383
483	0.2572262245
484	0.2570011641
485	0.256719
486	0.2560958139
487	0.2557796599
488	0.2553977016
489	0.2550947331
490	0.2549186945
491	0.2541910072
492	0.2537248354
493	0.2535656978
494	0.2532601653
495	0.2531077269
496	0.2525733159
497	0.2520821706
498	0.2516432683
499	0.2512125349
500	0.2509042238
501	0.2507726582
502	0.2503346812
503	0.2500550456
504	0.24960966
505	0.2494406175
506	0.249096263
507	0.2487320729
508	0.24826808
509	0.2479295541
510	0.247329388
511	0.2469885309
512	0.2465504826
513	0.2463736639
514	0.2460470261
515	0.2455045746
516	0.2451471258
517	0.2447110837
518	0.2445512269
519	0.2443981436
520	0.2441428977
521	0.2437894325
522	0.2434266828
523	0.2431835767
524	0.2429934066
525	0.2424749952
526	0.2421859555
527	0.2420092768
528	0.2415732931
529	0.2413675941
530	0.2413012936
531	0.2409199257
532	0.2405712341
533	0.2403623006
534	0.2398307965
535	0.2396106788
536	0.23921112
537	0.2388590569
538	0.2385154709
539	0.2377851611
540	0.2373702574
541	0.2370636495
542	0.2367801751
543	0.2364816326
544	0.2362847454
545	0.2357977131
546	0.2354818837
547	0.2351410988
548	0.2348968829
549	0.2347676297
550	0.2343213864
551	0.2341821663
552	0.2336463598
553	0.2333110737
554	0.2327885928
555	0.2324944468
556	0.2322827043
557	0.2319585637
558	0.2318123347
559	0.2314193906
560	0.2310844442
561	0.2308498398
562	0.2305227185
563	0.2302169198
564	0.2298378918
565	0.229303603
566	0.228969566
567	0.2286478974
568	0.2280221399
569	0.2275782592
570	0.227213639
571	0.2266318645
572	0.2263716355
573	0.2260447475
574	0.2257093757
575	0.2255500634
576	0.2252818795
577	0.2250848062
578	0.224883513
579	0.2244242174
580	0.2241285936
581	0.2237119704
582	0.2233470602
583	0.2230363468
584	0.2227299713
585	0.2225963741
586	0.2223052057
587	0.2219971662
588	0.221837274
589	0.2214769643
590	0.2211017872
591	0.2209150719
592	0.220578406
593	0.2203680106
594	0.2202548546
595	0.2198803744
596	0.2197193149
597	0.2194364169
598	0.2191185063
599	0.2188097996
600	0.2186174461
601	0.2183818661
602	0.2180400735
603	0.217672569
604	0.2173291822
605	0.2171959852
606	0.2168436321
607	0.216531028
608	0.2164206074
609	0.2160989378
610	0.2158480007
611	0.2156262893
612	0.2154884495
613	0.2151442701
614	0.2148821705
615	0.2146141998
616	0.2144281833
617	0.2140575202
618	0.2137453689
619	0.2134817774
620	0.2132496947
621	0.212686015
622	0.212215149
623	0.2119938325
624	0.2118052704
625	0.2116252287
626	0.211387782
627	0.21114632
628	0.2109530441
629	0.2106905591
630	0.2100722917
631	0.2097337094
632	0.2095795748
633	0.2093178137
634	0.2090192897
635	0.2087736955
636	0.208547778
637	0.2083092616
638	0.2080378035
639	0.2076483329
640	0.20735325
641	0.2069819601
642	0.2066197146
643	0.2064153099
644	0.2061116258
645	0.2058971082
646	0.2056349636
647	0.2052672687
648	0.2050659346
649	0.2046283568
650	0.2045772779
651	0.2042253256
652	0.2038679527
653	0.2038076093
654	0.2035418931
655	0.2032504968
656	0.2030456137
657	0.2027874838
658	0.2023221407
659	0.2020507463
660	0.201877549
661	0.2016530265
662	0.2012813002
663	0.2009696692
664	0.2007944379
665	0.2006972801
666	0.2005275937
667	0.2003685401
668	0.2001909645
669	0.1999536216
670	0.1994792633
671	0.1992658439
672	0.1989118897
673	0.1987878036
674	0.1985998565
675	0.1982670186
676	0.1978590029
677	0.1975756467
678	0.1971181262
679	0.1966760868
680	0.1964393071
681	0.1962070194
682	0.195974517
683	0.1957382036
684	0.195679599
685	0.1955265159
686	0.1952225402
687	0.194919924
688	0.1947392286
689	0.1945070205
690	0.1943398501
691	0.1942232888
692	0.194024128
693	0.1938505186
694	0.1935584174
695	0.1934500565
696	0.1932299371
697	0.192890782
698	0.1927827617
699	0.1924906285
700	0.1923079998
701	0.1920926485
702	0.1918076427
703	0.1915799761
704	0.191369383
705	0.1911086332
706	0.1908027598
707	0.1905883455
708	0.190388245
709	0.1901137705
710	0.1899117191
711	0.1897506913
712	0.1895219184
713	0.1893298738
714	0.1891647706
715	0.1889145069
716	0.1887095987
717	0.1885505675
718	0.1884298547
719	0.1882787315
720	0.1881829431
721	0.187899292
722	0.1877312626
723	0.1876767025
724	0.1875215589
725	0.1873122649
726	0.1869372874
727	0.1866862592
728	0.1865044082
729	0.1863862716
730	0.1859583489
731	0.1857298734
732	0.1854887223
733	0.1852540496
734	0.1851375938
735	0.1849466631
736	0.184550695
737	0.184395548
738	0.1841847361
739	0.1840776122
740	0.1839321353
741	0.1837521964
742	0.1835554146
743	0.1833998939
744	0.1831453478
745	0.1830168587
746	0.1827461586
747	0.1825809855
748	0.1823748094
749	0.18211255
750	0.1820334569
751	0.1816955973
752	0.1815665293
753	0.1813025636
754	0.1812622099
755	0.181114938
756	0.1809194145
757	0.1806086355
758	0.1804356582
759	0.1803616116
760	0.1803057296
761	0.1801500534
762	0.1800205943
763	0.1798276632
764	0.1796070539
765	0.1795017323
766	0.179353077
767	0.1790662064
768	0.178818755
769	0.1784055941
770	0.1781175101
771	0.1778942559
772	0.1775504236
773	0.1774195113
774	0.1771596021
775	0.1767988382
776	0.176583919
777	0.176396073
778	0.1761004621
779	0.1759503502
780	0.1757506873
781	0.1755757295
782	0.1753429082
783	0.1751276413
784	0.1749558018
785	0.1745845517
786	0.1743159349
787	0.174059085
788	0.1738690394
789	0.1736129202
790	0.1733083301
791	0.1732129381
792	0.1730659193
793	0.1730102671
794	0.1728402077
795	0.1725484029
796	0.1722608965
797	0.1719380724
798	0.1716564534
799	0.1714110123
800	0.1711888454
801	0.1710345059
802	0.1709125885
803	0.1707378401
804	0.1705267455
805	0.1703197837
806	0.1700824945
807	0.1698140385
808	0.1695975323
809	0.1695477473
810	0.1692934865
811	0.1691756166
812	0.1689463579
813	0.1687223034
814	0.1685891128
815	0.1683571683
816	0.1681411964
817	0.1679524536
818	0.1677039175
819	0.167573766
820	0.167320307
821	0.1670742269
822	0.1669709551
823	0.1668671658
824	0.1667162023
825	0.1665076199
826	0.1663331001
827	0.1661974239
828	0.1659222193
829	0.1657196089
830	0.165580852
831	0.1653805527
832	0.1652038633
833	0.1649755241
834	0.1647066829
835	0.1645630577
836	0.1640811753
837	0.1638121129
838	0.163494181
839	0.1633489165
840	0.1632161946
841	0.1629874731
842	0.1627949633
843	0.1627065088
844	0.1624981507
845	0.1622207334
846	0.1619628111
847	0.1618033939
848	0.1615620627
849	0.161278056
850	0.1611407366
851	0.1607915374
852	0.160577457
853	0.1602534837
854	0.1601540925
855	0.1600398958
856	0.1598418258
857	0.159773965
858	0.1595636763
859	0.1592969622
860	0.1591100007
861	0.1589755476
862	0.1588410308
863	0.1586934855
864	0.1584893613
865	0.1583215182
866	0.1580565052
867	0.1578761931
868	0.1576167374
869	0.1573425836
870	0.1571006686
871	0.1568342535
872	0.1566016888
873	0.1563281221
874	0.156112014
875	0.1560426841
876	0.1558639392
877	0.1557122797
878	0.1556121447
879	0.1553995991
880	0.1552554885
881	0.1551205334
882	0.1549488002
883	0.1547812815
884	0.1546715317
885	0.1544914492
886	0.154339666
887	0.154116189
888	0.1539590976
889	0.1537391441
890	0.1536062283
891	0.1534063383
892	0.1533105128
893	0.1531621331
894	0.1528847242
895	0.1527472435
896	0.1525492162
897	0.1523187756
898	0.1521359658
899	0.1519606317
900	0.1518834673
901	0.1516905007
902	0.1515000044
903	0.1512343374
904	0.1510830858
905	0.1507470941
906	0.1505075814
907	0.1504159809
908	0.1503016503
909	0.1502427137
910	0.1500834464
911	0.1499360439
912	0.1497685999
913	0.1496773509
914	0.1495896097
915	0.1494513257
916	0.1492665959
917	0.149150033
918	0.1489107267
919	0.148748742
920	0.1485394707
921	0.1484142517
922	0.1481908212
923	0.1481116252
924	0.1479039364
925	0.1477256523
926	0.1476022836
927	0.1475599255
928	0.1474352149
929	0.1472737268
930	0.1471125213
931	0.1469462609
932	0.1468056962
933	0.146709543
934	0.1465834797
935	0.1464249292
936	0.1462245776
937	0.1460749498
938	0.1459868826
939	0.1458031445
940	0.1455044262
941	0.1453776142
942	0.1451995068
943	0.1449331046
944	0.1447246732
945	0.1446645263
946	0.1445533871
947	0.1442872777
948	0.1441665126
949	0.1439689843
950	0.1438046763
951	0.143663237
952	0.1435828098
953	0.1433469214
954	0.1432551575
955	0.1431119568
956	0.1428405696
957	0.1425581929
958	0.1424853967
959	0.1423949158
960	0.1422462425
961	0.1420957432
962	0.1419586925
963	0.1416976596
964	0.1415743333
965	0.1414563572
966	0.1413359632
967	0.1411952908
968	0.1409815428
969	0.1408897521
970	0.1407880247
971	0.1405906067
972	0.1403337135
973	0.1401605415
974	0.1400901034
975	0.1398628581
976	0.1397306185
977	0.139586066
978	0.1395310902
979	0.1393104005
980	0.1392194331
981	0.1390658134
982	0.138828472
983	0.1387427089
984	0.1385865654
985	0.1383424977
986	0.1382803448
987	0.1380478713
988	0.1379080175
989	0.1378458881
990	0.1377399548
991	0.1376465228
992	0.1374634859
993	0.1373864804
994	0.1371943439
995	0.1370506127
996	0.1368268193
997	0.1367092444
998	0.136516043
999	0.1364207928
43325753
