iter	Passed	Remaining
0	60	60309
1	68	34349
2	77	25741
3	85	21313
4	93	18604
5	101	16747
6	108	15461
7	116	14473
8	123	13624
9	132	13159
10	141	12706
11	150	12384
12	158	12009
13	166	11733
14	174	11458
15	182	11252
16	191	11051
17	199	10910
18	210	10844
19	216	10631
20	225	10519
21	233	10394
22	245	10407
23	251	10238
24	260	10161
25	267	10024
26	276	9976
27	283	9840
28	304	10200
29	311	10077
30	318	9949
31	327	9903
32	334	9792
33	341	9704
34	347	9589
35	356	9539
36	362	9439
37	371	9395
38	378	9317
39	386	9283
40	393	9210
41	401	9160
42	408	9098
43	416	9049
44	424	8999
45	430	8930
46	438	8890
47	444	8824
48	454	8824
49	461	8772
50	470	8750
51	477	8696
52	485	8672
53	492	8620
54	500	8596
55	507	8549
56	515	8523
57	521	8469
58	535	8536
59	541	8482
60	548	8443
61	554	8394
62	562	8367
63	569	8325
64	577	8299
65	583	8262
66	591	8240
67	599	8215
68	605	8172
69	614	8159
70	620	8118
71	629	8114
72	635	8073
73	644	8059
74	650	8025
75	658	8005
76	665	7976
77	671	7943
78	678	7915
79	685	7881
80	694	7874
81	700	7842
82	711	7864
83	718	7838
84	728	7841
85	735	7816
86	744	7816
87	751	7786
88	760	7785
89	766	7754
90	788	7875
91	795	7852
92	802	7828
93	809	7804
94	816	7774
95	825	7771
96	831	7743
97	841	7745
98	847	7716
99	858	7722
100	864	7695
101	873	7693
102	880	7670
103	890	7675
104	897	7650
105	906	7641
106	912	7616
107	921	7608
108	928	7587
109	936	7575
110	943	7556
111	951	7544
112	960	7537
113	967	7522
114	975	7507
115	983	7494
116	990	7478
117	998	7460
118	1007	7456
119	1013	7433
120	1029	7478
121	1036	7460
122	1046	7459
123	1053	7439
124	1060	7423
125	1069	7415
126	1076	7396
127	1083	7381
128	1089	7359
129	1099	7355
130	1105	7335
131	1113	7325
132	1120	7306
133	1129	7297
134	1136	7280
135	1144	7270
136	1152	7260
137	1161	7253
138	1168	7237
139	1177	7232
140	1184	7217
141	1192	7205
142	1200	7192
143	1208	7186
144	1216	7173
145	1224	7161
146	1232	7150
147	1239	7136
