gender,age,attendance_pct,marks,homework_completion_pct,distance_to_school,Tution_fee_status,Transportation_fee_status,has_schlorship,has_transportation,dropout
0,17,54.8,45.6,41.3,961.6,1,Not Applicable,0,0,Yes
1,10,66.4,66.0,63.3,2023.8,1,Not Applicable,0,0,No
1,6,74.8,70.9,67.4,6495.9,0,Not Applicable,0,0,Yes
1,10,89.8,83.4,66.3,118.6,1,Paid,0,1,No
0,9,72.5,63.5,59.3,2954.2,1,Not Applicable,0,0,No
0,9,76.8,55.5,79.0,1626.1,1,Not Applicable,0,0,No
0,10,79.1,60.1,59.0,1629.9,0,Not Applicable,0,0,No
1,14,64.2,48.7,60.6,1850.8,0,Unpaid,0,1,Yes
1,5,100.0,88.1,81.4,763.1,1,Not Applicable,0,0,No
1,9,84.3,57.3,64.4,7714.1,1,Paid,0,1,No
0,15,65.7,72.4,56.8,2943.6,1,Not Applicable,0,0,No
1,9,82.9,75.0,82.1,3078.9,0,Not Applicable,0,0,No
1,7,69.6,61.3,61.5,338.6,0,Unpaid,0,1,Yes
0,15,98.3,75.6,76.4,5625.0,1,Paid,0,1,No
0,17,75.6,69.0,80.3,462.1,1,Not Applicable,0,0,No
0,12,75.7,58.8,64.4,2013.9,1,Not Applicable,0,0,No
0,6,93.9,72.1,85.4,3087.0,1,Paid,1,1,No
1,14,62.9,65.7,64.3,3592.1,0,Paid,0,1,Yes
0,11,68.5,39.2,58.8,10712.0,1,Not Applicable,0,0,Yes
0,7,80.0,65.1,78.7,417.3,0,Paid,0,1,No
1,6,93.1,75.7,67.6,164.8,1,Not Applicable,0,0,No
0,11,73.4,69.7,58.3,4975.5,1,Not Applicable,0,0,No
0,11,89.2,83.0,81.6,3408.0,1,Unpaid,0,1,No
0,16,82.2,67.8,79.6,867.2,1,Not Applicable,0,0,No
0,11,54.3,52.8,52.7,834.1,0,Not Applicable,0,0,Yes
1,13,88.6,71.9,84.2,2521.9,1,Not Applicable,0,0,No
0,10,80.0,61.4,67.2,2396.4,1,Paid,0,1,No
0,13,92.3,81.2,83.6,1125.6,1,Paid,1,1,No
1,7,89.8,66.5,67.6,849.1,1,Not Applicable,0,0,No
0,14,93.7,69.9,70.0,439.6,1,Not Applicable,0,0,No
1,13,60.1,53.4,49.1,3649.3,0,Not Applicable,0,0,Yes
0,15,88.5,74.8,82.7,1778.4,1,Not Applicable,0,0,No
0,14,70.4,65.3,60.7,10090.3,1,Paid,1,1,No
1,11,74.1,54.8,58.2,7243.8,1,Paid,0,1,Yes
1,15,79.6,82.9,77.7,1751.2,1,Not Applicable,0,0,Yes
1,6,68.0,42.9,50.8,2945.3,1,Not Applicable,0,0,Yes
0,8,52.0,32.1,49.1,327.9,0,Paid,0,1,Yes
0,6,55.6,29.7,40.7,1087.9,0,Partial,0,1,Yes
1,17,84.6,91.8,84.2,621.0,0,Not Applicable,0,0,No
0,6,74.7,72.7,71.4,2522.6,1,Not Applicable,1,0,No
0,10,72.3,60.0,76.4,2821.6,1,Not Applicable,1,0,No
0,6,63.6,48.6,50.0,20000.0,0,Paid,0,1,Yes
0,8,85.0,66.1,76.6,1452.7,1,Not Applicable,0,0,No
1,11,84.0,71.0,59.8,1586.2,1,Paid,0,1,No
0,11,73.2,62.9,62.2,2718.7,1,Paid,1,1,No
1,7,67.1,51.7,47.0,5736.7,1,Not Applicable,0,0,No
0,9,57.9,69.9,51.3,1828.1,1,Not Applicable,0,0,No
1,11,53.6,32.3,42.0,12189.3,1,Paid,0,1,Yes
1,12,94.0,89.2,70.9,1334.1,1,Not Applicable,0,0,No
0,17,69.2,76.6,70.1,1206.7,1,Paid,0,1,No
1,7,73.8,54.1,58.4,158.9,1,Paid,1,1,No
1,15,72.6,62.1,62.0,524.9,1,Not Applicable,0,0,No
1,12,64.9,55.5,53.8,14201.6,1,Not Applicable,0,0,Yes
1,7,90.1,80.7,74.0,2663.2,1,Paid,0,1,Yes
1,12,80.3,59.2,55.6,1640.8,1,Not Applicable,1,0,No
1,16,63.0,38.4,45.6,2659.5,1,Paid,0,1,Yes
0,17,67.4,63.7,68.6,320.4,1,Paid,0,1,Yes
0,15,68.3,47.6,49.5,3311.0,1,Paid,0,1,No
0,15,66.0,42.1,54.4,4523.2,0,Not Applicable,0,0,Yes
0,9,71.7,62.7,69.8,910.5,1,Paid,0,1,Yes
0,6,72.0,58.8,67.3,565.9,0,Partial,0,1,Yes
0,14,75.8,56.9,53.0,4314.4,1,Not Applicable,0,0,Yes
1,14,66.7,45.7,74.0,611.1,0,Paid,0,1,Yes
0,17,69.0,60.0,58.8,214.0,1,Paid,0,1,Yes
0,15,77.3,56.1,63.8,3350.3,1,Not Applicable,1,0,No
1,13,74.0,80.0,58.8,282.1,1,Paid,1,1,No
0,9,85.6,76.1,66.8,193.6,1,Not Applicable,0,0,No
1,8,99.7,73.5,83.3,198.6,1,Paid,0,1,No
0,9,84.9,69.8,69.0,1260.2,1,Not Applicable,1,0,No
1,8,90.1,85.2,96.9,543.1,1,Not Applicable,1,0,No
1,15,91.9,74.3,81.9,1697.0,1,Not Applicable,0,0,No
0,14,78.6,67.8,66.5,3123.7,1,Paid,1,1,No
0,10,86.0,87.9,81.7,2578.4,1,Partial,1,1,No
1,16,76.0,74.8,65.1,934.2,1,Paid,0,1,No
1,14,66.5,74.8,65.1,6068.8,0,Not Applicable,0,0,Yes
1,7,88.0,80.0,80.4,787.6,0,Paid,0,1,No
1,14,99.5,99.6,100.0,637.6,1,Paid,0,1,No
0,16,88.9,72.3,68.1,3250.3,1,Not Applicable,0,0,No
0,15,77.1,55.3,66.2,297.4,1,Not Applicable,1,0,No
0,8,32.1,20.3,19.3,3805.6,0,Paid,0,1,Yes
1,7,84.0,70.8,79.7,1530.0,1,Not Applicable,0,0,No
1,7,83.7,62.2,75.4,704.7,1,Paid,0,1,No
0,6,62.8,70.1,70.4,1830.8,1,Not Applicable,0,0,No
0,12,91.2,79.9,82.0,2042.7,1,Not Applicable,0,0,No
0,16,74.2,52.5,58.7,2143.3,0,Not Applicable,0,0,No
0,9,65.9,52.7,50.1,627.4,1,Not Applicable,0,0,No
1,12,86.8,58.7,74.7,575.7,1,Not Applicable,0,0,No
1,8,84.5,66.8,79.8,1349.4,0,Not Applicable,0,0,No
1,10,81.5,70.6,70.5,1744.7,1,Not Applicable,0,0,No
0,13,76.5,58.0,77.0,3222.8,1,Not Applicable,0,0,No
0,13,77.9,53.6,64.2,3097.2,1,Not Applicable,0,0,Yes
1,10,88.4,75.5,77.6,1003.8,1,Not Applicable,0,0,No
1,12,72.0,65.3,68.1,2674.1,1,Not Applicable,1,0,Yes
1,7,82.0,86.4,77.9,2974.5,1,Not Applicable,1,0,No
1,17,67.7,49.9,57.8,1314.3,1,Not Applicable,1,0,No
0,10,70.8,51.1,60.4,172.9,1,Not Applicable,0,0,No
1,17,65.8,43.5,60.3,2573.6,1,Not Applicable,0,0,No
0,10,71.2,63.6,69.1,2292.4,1,Not Applicable,0,0,No
0,7,57.5,50.7,56.7,5821.8,1,Paid,1,1,Yes
0,12,70.8,63.6,62.6,959.8,1,Not Applicable,0,0,No
0,7,79.3,75.6,72.1,2817.7,1,Paid,0,1,No
1,14,100.0,79.4,84.9,1120.4,1,Not Applicable,1,0,No
0,9,65.2,71.7,77.0,4321.7,1,Unpaid,0,1,No
