gender,age,attendance_pct,marks,homework_completion,distance_to_school,fee_status,dropout_label
female,11,67.19952933742152,78.0,31.0,16.4,yes,1
female,18,85.86447794919441,76.0,80.0,4.6,yes,0
female,12,57.4797375559678,30.0,28.0,4.5,yes,1
female,12,74.20262157695844,62.0,,2.6,yes,0
female,14,77.02366576088845,48.0,29.0,17.9,no,0
female,14,41.02711517794566,47.0,25.0,10.7,no,1
male,18,52.44232423325649,35.0,64.0,6.2,yes,1
female,18,76.27168284342241,96.0,71.0,15.3,yes,0
male,12,59.92358784620497,65.0,50.0,19.3,no,1
male,17,,75.0,41.0,13.0,no,0
female,11,78.75458545407648,53.0,21.0,16.6,no,0
male,11,59.86681532200395,37.0,33.0,13.8,yes,1
female,18,88.72248472028807,96.0,31.0,16.1,yes,0
male,18,82.79480395907785,,45.0,12.8,no,0
male,16,70.10884809364647,82.0,21.0,2.1,no,1
female,13,67.64685523718941,49.0,64.0,17.4,yes,0
male,17,75.9952749289514,58.0,83.0,7.5,no,0
female,15,81.99576044733044,63.0,27.0,7.3,no,0
male,16,60.25447136394469,34.0,55.0,8.5,no,0
male,14,,38.0,48.0,13.8,no,1
female,15,78.06130922026203,74.0,77.0,15.4,yes,0
female,13,56.85023978375861,78.0,,18.2,yes,1
male,12,72.94520026894433,52.0,97.0,12.1,no,0
female,17,65.06093342204198,37.0,25.0,8.8,yes,0
female,18,82.06596441877166,56.0,93.0,7.7,yes,0
male,12,65.10259771987359,94.0,24.0,15.1,no,1
male,11,67.78924644831015,72.0,85.0,10.0,yes,1
male,14,62.97356489370637,52.0,78.0,,no,0
female,14,56.03369242175788,37.0,50.0,0.6,no,1
male,16,72.35127928093601,39.0,70.0,10.8,yes,0
female,12,69.61979232503562,34.0,82.0,7.5,no,0
male,11,84.8769570374143,79.0,31.0,11.8,no,0
male,17,48.121451344748856,43.0,85.0,9.1,yes,1
male,18,91.25259842865948,69.0,31.0,,no,0
male,17,77.88848938708446,84.0,30.0,4.4,no,0
male,12,,47.0,60.0,17.4,yes,0
male,13,62.50355169462381,77.0,62.0,5.8,no,1
female,13,77.26699343426097,81.0,,,no,0
male,14,80.06174029931346,96.0,63.0,13.9,no,0
male,14,76.83122427215935,98.0,28.0,9.0,yes,1
female,13,84.79172590500923,65.0,88.0,16.6,yes,0
female,11,71.50311981720455,84.0,53.0,,no,1
male,17,71.07714356163359,35.0,77.0,,no,0
male,14,84.3900149573603,,79.0,12.9,no,0
male,16,58.92520099597765,57.0,24.0,2.1,no,1
male,13,66.89623026565462,80.0,43.0,17.1,no,1
male,16,70.15000216845598,68.0,26.0,13.6,yes,1
male,12,,71.0,84.0,15.9,yes,1
female,12,,41.0,44.0,9.5,yes,1
male,14,65.00958022963336,79.0,45.0,13.3,yes,1
male,17,71.23575368624483,92.0,42.0,12.8,no,1
male,12,63.42852637130467,54.0,,8.7,yes,1
male,13,36.69986389151551,38.0,22.0,13.5,no,1
male,16,73.53194494656996,54.0,53.0,12.3,no,0
male,14,45.56108712992564,33.0,69.0,12.1,yes,1
male,16,76.42579787417691,63.0,95.0,13.4,no,0
female,15,63.56957695826131,38.0,72.0,18.8,no,0
male,14,72.34050769823682,76.0,61.0,7.6,no,0
female,15,62.79955412737986,35.0,61.0,1.8,no,0
female,12,83.57170264021046,79.0,41.0,16.6,no,0
female,15,37.32986739803405,48.0,33.0,9.0,yes,1
male,14,61.65680526624728,31.0,56.0,,yes,0
female,16,57.87221564151303,48.0,56.0,5.9,no,0
female,17,75.94608041113463,53.0,,14.8,no,0
male,14,,,100.0,3.8,no,0
male,14,59.73014596959921,36.0,61.0,5.4,no,1
female,13,56.1383867413914,64.0,48.0,2.1,no,1
female,18,47.74530617702205,40.0,96.0,12.3,no,1
female,18,63.70874675320011,47.0,99.0,16.0,no,1
female,18,98.95350514916612,89.0,80.0,1.9,no,0
male,11,74.11888894403441,40.0,,16.3,no,0
female,16,80.75818158499686,75.0,80.0,4.5,no,0
male,17,55.24575099698308,81.0,35.0,8.8,yes,1
male,18,65.92018781256452,67.0,34.0,10.0,yes,1
female,12,69.52925566425888,64.0,70.0,17.6,no,0
male,18,52.68114815020302,37.0,66.0,,yes,0
male,12,52.31384721346639,54.0,44.0,1.6,no,1
female,18,80.5225319836812,45.0,93.0,,no,0
male,17,64.86869913665703,59.0,30.0,16.8,yes,1
male,12,,97.0,21.0,,no,1
female,18,60.224982984265246,42.0,74.0,11.1,yes,0
female,12,84.51841025042064,95.0,40.0,16.9,no,0
female,16,89.39206883394452,69.0,30.0,13.6,no,0
male,14,,42.0,89.0,11.3,no,0
female,16,66.74272726286506,43.0,75.0,8.8,no,0
female,18,70.02415484197724,79.0,65.0,12.5,no,0
female,17,81.39592608470406,51.0,51.0,8.5,no,0
male,13,84.55847205352576,92.0,32.0,15.2,no,0
male,16,64.33257672381417,60.0,57.0,5.7,no,0
male,15,59.98857734831441,49.0,23.0,3.3,yes,1
female,16,76.65151049064377,91.0,86.0,8.8,no,0
male,16,82.37001578801457,86.0,30.0,3.6,yes,0
female,16,69.50623550856075,36.0,61.0,7.1,no,0
female,12,63.529732495045295,31.0,43.0,2.7,no,0
female,11,88.39539355786735,87.0,38.0,2.7,no,0
male,13,48.80531903955758,78.0,95.0,,no,1
female,18,,97.0,45.0,16.9,no,0
male,16,,33.0,21.0,9.4,yes,1
female,18,96.6855512296702,67.0,64.0,9.2,no,0
female,16,44.29246991871936,44.0,47.0,,yes,1
male,18,64.60902105193802,43.0,92.0,,no,0
male,16,69.83430653439672,63.0,63.0,2.8,no,0
