Student_ID,Age,Gender,Overall_Performance_Percentage,Homework_Completion,Family_Income,Distance_to_School_km,Health_Issues,Bullying_Experience,Teacher_Feedback,Fees_Status,Sibling_Count,Dropout_Status
S00001,11,Female,78,31,High,16.4,Yes,Yes,Average,Overdue (3+ Months),1,Dropout
S00002,18,Female,76,80,Low,4.6,No,Yes,Good,Overdue (3+ Months),2,Not Dropout
S00003,12,Female,30,28,High,4.5,No,Yes,Good,Unpaid,4,Dropout
S00004,12,Female,62,69,High,2.6,Yes,Yes,Average,Overdue (3+ Months),0,Not Dropout
S00005,14,Female,48,29,High,17.9,Yes,Yes,Good,Paid,0,Not Dropout
S00006,14,Female,47,25,Low,10.7,Yes,No,Good,Paid,4,Dropout
S00007,18,Male,35,64,Low,6.2,No,No,Good,Unpaid,4,Dropout
S00008,18,Female,96,71,Low,15.3,Yes,No,Good,Overdue (3+ Months),3,Not Dropout
S00009,12,Male,65,50,Low,19.3,No,Yes,Poor,Paid,4,Dropout
S00010,17,Male,75,41,High,13.0,No,No,Average,Paid,1,Not Dropout
S00011,11,Female,53,21,Medium,16.6,No,Yes,Good,Paid,1,Not Dropout
S00012,11,Male,37,33,High,13.8,No,Yes,Average,Overdue (3+ Months),0,Dropout
S00013,18,Female,96,31,Medium,16.1,Yes,No,Average,Overdue (3+ Months),2,Not Dropout
S00014,18,Male,69,45,High,12.8,Yes,Yes,Average,Paid,0,Not Dropout
S00015,16,Male,82,21,Low,2.1,Yes,No,Poor,Paid,2,Dropout
S00016,13,Female,49,64,Low,17.4,No,Yes,Good,Overdue (3+ Months),2,Not Dropout
S00017,17,Male,58,83,High,7.5,No,No,Good,Paid,4,Not Dropout
S00018,15,Female,63,27,Medium,7.3,No,No,Good,Paid,1,Not Dropout
S00019,16,Male,34,55,Medium,8.5,No,No,Poor,Paid,0,Not Dropout
S00020,14,Male,38,48,High,13.8,Yes,Yes,Good,Paid,3,Dropout
S00021,15,Female,74,77,Medium,15.4,No,No,Average,Overdue (3+ Months),2,Not Dropout
S00022,13,Female,78,36,Low,18.2,Yes,Yes,Average,Unpaid,1,Dropout
S00023,12,Male,52,97,High,12.1,Yes,No,Poor,Paid,1,Not Dropout
S00024,17,Female,37,25,Medium,8.8,No,No,Good,Unpaid,2,Not Dropout
S00025,18,Female,56,93,Low,7.7,No,No,Poor,Unpaid,2,Not Dropout
S00026,12,Male,94,24,Low,15.1,Yes,Yes,Average,Paid,5,Dropout
S00027,11,Male,72,85,Medium,10.0,Yes,Yes,Average,Unpaid,5,Dropout
S00028,14,Male,52,78,Medium,13.9,Yes,Yes,Average,Paid,2,Not Dropout
S00029,14,Female,37,50,Medium,0.6,Yes,Yes,Average,Paid,4,Dropout
S00030,16,Male,39,70,Medium,10.8,No,Yes,Good,Unpaid,0,Not Dropout
S00031,12,Female,34,82,Medium,7.5,No,No,Poor,Paid,3,Not Dropout
S00032,11,Male,79,31,High,11.8,No,No,Good,Paid,2,Not Dropout
S00033,17,Male,43,85,High,9.1,Yes,Yes,Poor,Unpaid,3,Dropout
S00034,18,Male,69,31,High,6.8,Yes,Yes,Good,Paid,3,Not Dropout
S00035,17,Male,84,30,High,4.4,No,Yes,Good,Paid,0,Not Dropout
S00036,12,Male,47,60,High,17.4,Yes,No,Good,Unpaid,2,Not Dropout
S00037,13,Male,77,62,Low,5.8,Yes,Yes,Poor,Paid,1,Dropout
S00038,13,Female,81,55,Medium,9.6,Yes,No,Average,Paid,3,Not Dropout
S00039,14,Male,96,63,Medium,13.9,No,No,Good,Paid,3,Not Dropout
S00040,14,Male,98,28,High,9.0,No,Yes,Good,Unpaid,4,Dropout
S00041,13,Female,65,88,Low,16.6,Yes,No,Good,Unpaid,1,Not Dropout
S00042,11,Female,84,53,Low,3.3,Yes,Yes,Average,Paid,5,Dropout
S00043,17,Male,35,77,High,11.6,Yes,No,Poor,Paid,0,Not Dropout
S00044,14,Male,45,79,Low,12.9,Yes,No,Average,Paid,1,Not Dropout
S00045,16,Male,57,24,Low,2.1,Yes,Yes,Good,Paid,2,Dropout
S00046,13,Male,80,43,Low,17.1,No,Yes,Poor,Paid,2,Dropout
S00047,16,Male,68,26,Medium,13.6,Yes,Yes,Average,Unpaid,1,Dropout
